658624, EECO05, 2024-01-24 15:08:58, 03EGTBW031, None
658625, EECO06, 2024-01-24 15:08:58, 03EGTBW031, None
658626, EECO07, 2024-01-24 15:08:58, 03EGTBW031, None
658627, EECO08, 2024-01-24 15:08:58, 03EGTBW031, None
658628, EECO09, 2024-01-24 15:08:58, 03EGTBW031, None
658629, EECO10, 2024-01-24 15:08:58, 03EGTBW031, None
658630, EECO11, 2024-01-24 15:08:58, 03EGTBW031, None
658631, EECO12, 2024-01-24 15:08:58, 03EGTBW031, None
658632, EECO13, 2024-01-24 15:08:58, 03EGTBW031, None
658633, EECO14, 2024-01-24 15:08:58, 03EGTBW031, None
658634, PO1a1, 2024-01-24 15:08:58, 03EGTBW031, None
658635, EECO01, 2024-01-24 15:08:59, 03EGTBW032, None
658636, EECO02, 2024-01-24 15:08:59, 03EGTBW032, None
658637, EECO03, 2024-01-24 15:08:59, 03EGTBW032, None
658638, EECO04, 2024-01-24 15:08:59, 03EGTBW032, None
658639, EECO05, 2024-01-24 15:08:59, 03EGTBW032, None
658640, EECO06, 2024-01-24 15:08:59, 03EGTBW032, None
658641, EECO07, 2024-01-24 15:08:59, 03EGTBW032, None
658642, EECO08, 2024-01-24 15:08:59, 03EGTBW032, None
658643, EECO09, 2024-01-24 15:08:59, 03EGTBW032, None
658644, EECO10, 2024-01-24 15:08:59, 03EGTBW032, None
658645, EECO11, 2024-01-24 15:08:59, 03EGTBW032, None
658646, EECO12, 2024-01-24 15:08:59, 03EGTBW032, None
658647, EECO13, 2024-01-24 15:08:59, 03EGTBW032, None
658648, EECO14, 2024-01-24 15:08:59, 03EGTBW032, None
658649, PO1a1, 2024-01-24 15:08:59, 03EGTBW032, None
658650, EECO01, 2024-01-24 15:09:00, 03EGTBW033, None
658651, EECO02, 2024-01-24 15:09:00, 03EGTBW033, None
658652, EECO03, 2024-01-24 15:09:00, 03EGTBW033, None
658653, EECO04, 2024-01-24 15:09:00, 03EGTBW033, None
658654, EECO05, 2024-01-24 15:09:00, 03EGTBW033, None
658655, EECO06, 2024-01-24 15:09:00, 03EGTBW033, None
658656, EECO07, 2024-01-24 15:09:00, 03EGTBW033, None
658657, EECO08, 2024-01-24 15:09:00, 03EGTBW033, None
658658, EECO09, 2024-01-24 15:09:00, 03EGTBW033, None
658659, EECO10, 2024-01-24 15:09:00, 03EGTBW033, None
658660, EECO11, 2024-01-24 15:09:00, 03EGTBW033, None
658661, EECO12, 2024-01-24 15:09:00, 03EGTBW033, None
658662, EECO13, 2024-01-24 15:09:00, 03EGTBW033, None
658663, EECO14, 2024-01-24 15:09:00, 03EGTBW033, None
658664, PO1a1, 2024-01-24 15:09:00, 03EGTBW033, None
658665, EECO01, 2024-01-24 15:09:00, 03EGTBW034, None
658666, EECO02, 2024-01-24 15:09:00, 03EGTBW034, None
658667, EECO03, 2024-01-24 15:09:00, 03EGTBW034, None
658668, EECO04, 2024-01-24 15:09:00, 03EGTBW034, None
658669, EECO05, 2024-01-24 15:09:00, 03EGTBW034, None
658670, EECO06, 2024-01-24 15:09:00, 03EGTBW034, None
658671, EECO07, 2024-01-24 15:09:00, 03EGTBW034, None
658672, EECO08, 2024-01-24 15:09:00, 03EGTBW034, None
658673, EECO09, 2024-01-24 15:09:00, 03EGTBW034, None
658674, EECO10, 2024-01-24 15:09:00, 03EGTBW034, None
658675, EECO11, 2024-01-24 15:09:00, 03EGTBW034, None
658676, EECO12, 2024-01-24 15:09:00, 03EGTBW034, None
658677, EECO13, 2024-01-24 15:09:00, 03EGTBW034, None
658678, EECO14, 2024-01-24 15:09:00, 03EGTBW034, None
658679, PO1a1, 2024-01-24 15:09:00, 03EGTBW034, None
658680, EECO01, 2024-01-24 15:09:01, 03EGTBW035, None
658681, EECO02, 2024-01-24 15:09:01, 03EGTBW035, None
658682, EECO03, 2024-01-24 15:09:01, 03EGTBW035, None
658683, EECO04, 2024-01-24 15:09:01, 03EGTBW035, None
658684, EECO05, 2024-01-24 15:09:01, 03EGTBW035, None
658685, EECO06, 2024-01-24 15:09:01, 03EGTBW035, None
658686, EECO07, 2024-01-24 15:09:01, 03EGTBW035, None
658687, EECO08, 2024-01-24 15:09:01, 03EGTBW035, None
658688, EECO09, 2024-01-24 15:09:01, 03EGTBW035, None
658689, EECO10, 2024-01-24 15:09:01, 03EGTBW035, None
658690, EECO11, 2024-01-24 15:09:01, 03EGTBW035, None
658691, EECO12, 2024-01-24 15:09:01, 03EGTBW035, None
658692, EECO13, 2024-01-24 15:09:01, 03EGTBW035, None
658693, EECO14, 2024-01-24 15:09:01, 03EGTBW035, None
658694, PO1a1, 2024-01-24 15:09:01, 03EGTBW035, None
658695, EECO01, 2024-01-24 15:09:02, 03EGTBW036, None
658696, EECO02, 2024-01-24 15:09:02, 03EGTBW036, None
658697, EECO03, 2024-01-24 15:09:02, 03EGTBW036, None
658698, EECO04, 2024-01-24 15:09:02, 03EGTBW036, None
658699, EECO05, 2024-01-24 15:09:02, 03EGTBW036, None
658700, EECO06, 2024-01-24 15:09:02, 03EGTBW036, None
658701, EECO07, 2024-01-24 15:09:02, 03EGTBW036, None
658702, EECO08, 2024-01-24 15:09:02, 03EGTBW036, None
658703, EECO09, 2024-01-24 15:09:02, 03EGTBW036, None
658704, EECO10, 2024-01-24 15:09:02, 03EGTBW036, None
658705, EECO11, 2024-01-24 15:09:02, 03EGTBW036, None
658706, EECO12, 2024-01-24 15:09:02, 03EGTBW036, None
658707, EECO13, 2024-01-24 15:09:02, 03EGTBW036, None
658708, EECO14, 2024-01-24 15:09:02, 03EGTBW036, None
658709, PO1a1, 2024-01-24 15:09:02, 03EGTBW036, None
658710, EECO01, 2024-01-24 15:09:03, 03EGTBW037, None
658711, EECO02, 2024-01-24 15:09:03, 03EGTBW037, None
658712, EECO03, 2024-01-24 15:09:03, 03EGTBW037, None
658713, EECO04, 2024-01-24 15:09:03, 03EGTBW037, None
658714, EECO05, 2024-01-24 15:09:03, 03EGTBW037, None
658715, EECO06, 2024-01-24 15:09:03, 03EGTBW037, None
658716, EECO07, 2024-01-24 15:09:03, 03EGTBW037, None
658717, EECO08, 2024-01-24 15:09:03, 03EGTBW037, None
658718, EECO09, 2024-01-24 15:09:03, 03EGTBW037, None
658719, EECO10, 2024-01-24 15:09:03, 03EGTBW037, None
658720, EECO11, 2024-01-24 15:09:03, 03EGTBW037, None
658721, EECO12, 2024-01-24 15:09:03, 03EGTBW037, None
658722, EECO13, 2024-01-24 15:09:03, 03EGTBW037, None
658723, EECO14, 2024-01-24 15:09:03, 03EGTBW037, None
658724, PO1a1, 2024-01-24 15:09:03, 03EGTBW037, None
658725, EECO01, 2024-01-24 15:09:04, 03EGTBY001, None
658726, EECO02, 2024-01-24 15:09:04, 03EGTBY001, None
658727, EECO03, 2024-01-24 15:09:04, 03EGTBY001, None
658728, EECO04, 2024-01-24 15:09:04, 03EGTBY001, None
658729, EECO05, 2024-01-24 15:09:04, 03EGTBY001, None
658730, EECO06, 2024-01-24 15:09:04, 03EGTBY001, None
658731, EECO07, 2024-01-24 15:09:04, 03EGTBY001, None
658732, EECO08, 2024-01-24 15:09:04, 03EGTBY001, None
658733, EECO09, 2024-01-24 15:09:04, 03EGTBY001, None
658734, EECO10, 2024-01-24 15:09:04, 03EGTBY001, None
658543, EECO14, 2024-01-24 15:08:54, 03EGTBW003, None
658741, EECO01, 2024-01-24 15:09:05, 03EGTBY004, None
658742, EECO02, 2024-01-24 15:09:05, 03EGTBY004, None
658743, EECO03, 2024-01-24 15:09:05, 03EGTBY004, None
658744, EECO04, 2024-01-24 15:09:05, 03EGTBY004, None
658745, EECO05, 2024-01-24 15:09:05, 03EGTBY004, None
658746, EECO06, 2024-01-24 15:09:05, 03EGTBY004, None
