33955, EECO14, YES, 03EGTNW037, 2024-01-24 15:09:44, 126490, 2023, 1
33957, EECO14, YES, 03EGTNW037, 2024-01-24 15:09:44, 126491, 2023, 0
33956, EECO14, YES, 03EGTNW037, 2024-01-24 15:09:44, 126492, 2023, 1
33955, EECO09, YES, 03EGTNW037, 2024-01-24 15:09:44, 126493, 2023, 0
33957, EECO09, YES, 03EGTNW037, 2024-01-24 15:09:44, 126494, 2023, 0
33956, EECO09, YES, 03EGTNW037, 2024-01-24 15:09:44, 126495, 2023, 0
33955, EECO10, YES, 03EGTNW037, 2024-01-24 15:09:44, 126496, 2023, 0
33957, EECO10, YES, 03EGTNW037, 2024-01-24 15:09:44, 126497, 2023, 0
33956, EECO10, YES, 03EGTNW037, 2024-01-24 15:09:44, 126498, 2023, 0
33955, EECO11, YES, 03EGTNW037, 2024-01-24 15:09:44, 126499, 2023, 1
33957, EECO11, YES, 03EGTNW037, 2024-01-24 15:09:44, 126500, 2023, 1
33956, EECO11, YES, 03EGTNW037, 2024-01-24 15:09:44, 126501, 2023, 1
33955, EECO02, YES, 03EGTNW037, 2024-01-24 15:09:44, 126502, 2023, 0
33957, EECO02, YES, 03EGTNW037, 2024-01-24 15:09:44, 126503, 2023, 0
33956, EECO02, YES, 03EGTNW037, 2024-01-24 15:09:44, 126504, 2023, 0
33955, EECO04, YES, 03EGTNW037, 2024-01-24 15:09:44, 126505, 2023, 0
33957, EECO04, YES, 03EGTNW037, 2024-01-24 15:09:44, 126506, 2023, 0
33956, EECO04, YES, 03EGTNW037, 2024-01-24 15:09:44, 126507, 2023, 0
33955, EECO05, YES, 03EGTNW037, 2024-01-24 15:09:44, 126508, 2023, 1
33957, EECO05, YES, 03EGTNW037, 2024-01-24 15:09:44, 126509, 2023, 0
33956, EECO05, YES, 03EGTNW037, 2024-01-24 15:09:44, 126510, 2023, 1
34472, EECO01, YES, 03EGTSN002, 2024-01-24 15:09:45, 126511, 2023, 1
34471, EECO01, YES, 03EGTSN002, 2024-01-24 15:09:45, 126512, 2023, 1
34470, EECO01, YES, 03EGTSN002, 2024-01-24 15:09:45, 126513, 2023, 1
34472, EECO03, YES, 03EGTSN002, 2024-01-24 15:09:45, 126514, 2023, 0
34471, EECO03, YES, 03EGTSN002, 2024-01-24 15:09:45, 126515, 2023, 0
